person1 (on DL card),person2 (on camera images),person1 == person2 [actual],person1 == person2 [predicted]
Abel_Pacheco,Abel_Pacheco,True,True
Akhmed_Zakayev,Akhmed_Zakayev,True,True
Akhmed_Zakayev,Akhmed_Zakayev,True,True
Amber_Tamblyn,Amber_Tamblyn,True,True
Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen,True,True
Anders_Fogh_Rasmussen,Anders_Fogh_Rasmussen,True,False
Angela_Bassett,Angela_Bassett,True,True
Angela_Bassett,Angela_Bassett,True,True
Angela_Bassett,Angela_Bassett,True,True
Ann_Veneman,Ann_Veneman,True,True
Ann_Veneman,Ann_Veneman,True,True
Ann_Veneman,Ann_Veneman,True,True
Anthony_Fauci,Anthony_Fauci,True,True
Antony_Leung,Antony_Leung,True,True
Antony_Leung,Antony_Leung,True,True
Anwar_Ibrahim,Anwar_Ibrahim,True,False
Augusto_Pinochet,Augusto_Pinochet,True,True
Barbara_Brezigar,Barbara_Brezigar,True,True
Benjamin_Netanyahu,Benjamin_Netanyahu,True,True
Benjamin_Netanyahu,Benjamin_Netanyahu,True,True
Bernard_Law,Bernard_Law,True,True
Bernard_Law,Bernard_Law,True,False
Bertrand_Bonello,Bertrand_Bonello,True,True
Bill_Frist,Bill_Frist,True,True
Bill_Frist,Bill_Frist,True,False
Bob_Graham,Bob_Graham,True,True
Bob_Graham,Bob_Graham,True,True
Bob_Graham,Bob_Graham,True,True
Bob_Graham,Bob_Graham,True,True
Boris_Becker,Boris_Becker,True,True
Brad_Johnson,Brad_Johnson,True,True
Brad_Johnson,Brad_Johnson,True,True
Brad_Johnson,Brad_Johnson,True,True
Brian_Griese,Brian_Griese,True,True
Candice_Bergen,Candice_Bergen,True,False
Candice_Bergen,Candice_Bergen,True,True
Carla_Myers,Carla_Myers,True,True
Cathy_Freeman,Cathy_Freeman,True,True
Chang_Dae-whan,Chang_Dae-whan,True,True
Charles_Grassley,Charles_Grassley,True,True
Clare_Short,Clare_Short,True,True
Clare_Short,Clare_Short,True,True
Corinne_Coman,Corinne_Coman,True,True
Dai_Bachtiar,Dai_Bachtiar,True,True
Dale_Earnhardt_Jr,Dale_Earnhardt_Jr,True,False
David_Caruso,David_Caruso,True,True
Demi_Moore,Demi_Moore,True,True
Dick_Vermeil,Dick_Vermeil,True,True
Doris_Roberts,Doris_Roberts,True,True
Doris_Roberts,Doris_Roberts,True,True
Drew_Barrymore,Drew_Barrymore,True,False
Edmund_Stoiber,Edmund_Stoiber,True,True
Edmund_Stoiber,Edmund_Stoiber,True,True
Edmund_Stoiber,Edmund_Stoiber,True,True
Edmund_Stoiber,Edmund_Stoiber,True,True
Elinor_Caplan,Elinor_Caplan,True,True
Emmanuelle_Beart,Emmanuelle_Beart,True,True
Emmanuelle_Beart,Emmanuelle_Beart,True,True
Federico_Trillo,Federico_Trillo,True,False
Federico_Trillo,Federico_Trillo,True,False
Federico_Trillo,Federico_Trillo,True,False
Francis_Ford_Coppola,Francis_Ford_Coppola,True,True
Fred_Thompson,Fred_Thompson,True,True
Fred_Thompson,Fred_Thompson,True,True
Fred_Thompson,Fred_Thompson,True,True
Garry_Trudeau,Garry_Trudeau,True,True
Gary_Williams,Gary_Williams,True,True
Gene_Robinson,Gene_Robinson,True,False
Gene_Robinson,Gene_Robinson,True,False
Gene_Robinson,Gene_Robinson,True,False
George_Galloway,George_Galloway,True,False
